INCIDENT NUMBER,INCIDENT REGION,RESPONSE TYPE,INCIDENT START DATE,INCIDENT START TIME,SUBJECT NUMBER,SUBJECT GENDER,SUBJECT AGE,SUBJECT STATE,SUBJECT COUNTRY,ACTIVITY,SITUATION,LOCATION FOUND LATITUDE,LOCATION FOUND LONGITUDE,LOCATION FOUND ELEVATION,FOUND IN SEARCH AREA,TECHNIQUE,NUMBER OF RANGERS INVOLVED,OTHER AGENCY INVOLVEMENT,LAST KNOWN POINT LAND CLASS,LAST KNOWN POINT STATE LAND NAME,LAST KNOWN POINT COUNTY,LAST KNOWN POINT MUNICIPALITY,INCIDENT ADIRONDACK PARK,INCIDENT CATSKILL PARK,INCIDENT CLOSED DATE,INCIDENT CLOSED TIME,Location
NY-2020-WS-012,4,Rescue,01/26/2020,10:02 AM,2,M,61,NY,US,Snowmobile,Stranded,42.19921,-74.04134,2129,false,Assist/own power,4,true,Forest Preserve,North South Lake Intensive Use Area,GREENE,HUNTER,false,true,01/26/2020,02:00 PM,POINT (-74.04134 42.19921)
NY-2020-WS-452,5,Search,11/09/2020,07:15 AM,1,F,34,NY,US,Despondent,Illness,44.09976,-73.93111,4900,false,Assist/own power,4,true,Forest Preserve,High Peaks Wilderness,ESSEX,NORTH ELBA,true,false,11/09/2020,07:30 PM,POINT (-73.93111 44.09976)
NY-2017-WS-234,5,Rescue,08/25/2017,08:11 PM,1,F,50,NY,US,Hiking,Stranded,43.59283,-73.70517,1925,true,Assist/own power,1,true,Forest Preserve,Lake George Wild Forest,WARREN,BOLTON,true,false,08/25/2017,10:50 PM,POINT (-73.70517 43.59283)
NY-2018-WS-018,5,Rescue,02/18/2018,12:22 PM,1,F,48,CT,US,Snowmobile,Injured,43.56104,-74.35185,1927,true,Vehicle/boat evacuation,1,true,Conservation Easement,Speculator Tree Farm Conservation Easement,HAMILTON,LAKE PLEASANT,true,false,02/18/2018,02:00 PM,POINT (-74.35185 43.56104)
NY-2015-WS-204,5,Recovery,08/07/2015,07:18 PM,2,F,67,NY,US,Aircraft,Overdue,44.40346,-74.19081,1656,true,,3,true,Private Land,Paul Smiths College Easement,FRANKLIN,HARRIETSTOWN,true,false,08/07/2015,08:30 PM,POINT (-74.19081 44.40346)
NY-2014-WS-266,9,Search,11/15/2014,09:22 PM,1,M,64,NY,US,Hunting,Overdue,42.54688,-78.62457,1731,true,Technical Rope,3,true,Private Land,Private Land,ERIE,SARDINIA,false,false,11/16/2014,02:15 AM,POINT (-78.62457 42.54688)
NY-2020-WS-072,5,Rescue,05/01/2020,03:51 PM,1,M,19,NY,US,Hiking,Injured,44.40466,-73.50433,928,true,Carry out by foot,4,true,Forest Preserve,Poke-O-Moonshine Campground,ESSEX,CHESTERFIELD,true,false,05/01/2020,05:30 PM,POINT (-73.50433 44.40466)
NY-2020-WS-124,5,Rescue,06/10/2020,01:46 PM,1,M,50,NY,US,Hiking,Injured,44.16453,-73.86269,2525,true,Aircraft evacuation,7,true,Forest Preserve,High Peaks Wilderness,ESSEX,KEENE,true,false,06/10/2020,05:25 PM,POINT (-73.86269 44.16453)
NY-2014-WS-256,5,Search,10/25/2014,02:49 PM,2,F,25,NY,US,Hiking,Lost,43.59836,-73.7068,2031,true,Vehicle/boat evacuation,1,false,Forest Preserve,Lake George Wild Forest,WARREN,LAKE GEORGE,true,false,10/25/2014,07:55 PM,POINT (-73.7068 43.59836)
NY-2018-WS-161,5,Rescue,07/14/2018,08:30 PM,1,M,17,NY,US,Hiking,Illness,41.24317,-73.9803,2774,true,Assist/own power,1,true,Forest Preserve,High Peaks Wilderness,ESSEX,NEWCOMB,true,false,07/15/2018,12:04 AM,POINT (-73.9803 41.24317)
NY-2021-WS-143,6,Rescue,06/19/2021,07:39 PM,2,M,33,NY,US,Hiking,Lost,44.21385,-74.80329,1500,true,Assist/own power,2,true,Forest Preserve,Cranberry Lake Wild Forest,ST LAWRENCE,CLIFTON,true,false,06/19/2021,10:30 PM,POINT (-74.80329 44.21385)
NY-2014-WS-012,5,Rescue,02/18/2014,11:25 AM,1,F,44,NY,US,Snowmobile,Injured,43.63333,-73.74186,916,false,Carry out by foot; Technical Rope,2,true,Private Land,private,WARREN,HORICON,true,false,02/18/2014,01:41 PM,POINT (-73.74186 43.63333)
NY-2014-WS-092,4,Rescue,06/14/2014,04:39 PM,1,F,30,NY,US,Hiking,Injured,42.19173,-74.07021,1560,false,Carry out by foot,1,true,Forest Preserve,Kaaterskill Wild Forest,GREENE,HUNTER,false,true,06/14/2014,05:30 PM,POINT (-74.07021 42.19173)
NY-2015-WS-139,5,Rescue,06/26/2015,06:33 PM,1,M,62,NY,US,Hiking,Injured,44.14175,-73.92696,3600,true,Vehicle/boat evacuation,1,true,Forest Preserve,E. High Peaks Wilderness,ESSEX,NORTH ELBA,true,false,06/26/2015,11:59 PM,POINT (-73.92696 44.14175)
NY-2019-WS-185,5,Recovery,07/30/2019,01:42 PM,1,M,4,NY,US,Swimming,Injured,44.31939,-74.41473,1572,true,Dive Team,2,true,DEC Campground,Roliings Pond DEC Campground,FRANKLIN,SANTA CLARA,true,false,07/30/2019,06:09 PM,POINT (-74.41473 44.31939)
NY-2020-WS-245,5,Search,08/05/2020,04:30 PM,1,M,22,NY,US,Swimming,Missing,43.44435,-73.68178,320,true,Aircraft evacuation; Dive Team; Vehicle/boat evacuation,1,true,Forest Preserve,Lake George Wild Forest,WARREN,LAKE GEORGE,true,false,08/06/2020,11:12 AM,POINT (-73.68178 43.44435)
NY-2019-WS-311,5,Search,10/26/2019,07:07 PM,1,M,71,NY,US,Hunting,Lost,43.40091,-74.76889,1800,true,Assist/own power,3,true,Forest Preserve,Ferris Lake Wild Forest,HAMILTON,MOREHOUSE,true,false,10/26/2019,09:30 PM,POINT (-74.76889 43.40091)
NY-2019-WS-066,3,Search,04/25/2019,01:00 PM,1,M,43,NY,US,Hiking,Lost,41.71966,-74.71272,1178,false,Assist/own power,1,true,Other Municipal Land,NA,SULLIVAN,THOMPSON,false,false,04/25/2019,02:30 PM,POINT (-74.71272 41.71966)
NY-2015-WS-153,5,Search,07/06/2015,12:25 PM,1,F,54,NY,US,Hiking,Lost,43.83047,-73.55533,1500,true,Assist/own power,1,false,Forest Preserve,Pharaoh Lake Wilderness Area,ESSEX,TICONDEROGA,true,false,07/06/2015,02:00 PM,POINT (-73.55533 43.83047)
NY-2020-WS-184,5,Rescue,07/15/2020,01:10 PM,1,M,47,NY,US,Hiking,Injured,44.063,-74.00015,2000,true,Assist/own power,2,false,Forest Preserve,High Peaks,ESSEX,KEENE,true,false,07/15/2020,06:32 PM,POINT (-74.00015 44.063)
NY-2012-WS-037,5,Search,03/18/2012,08:46 PM,2,M,41,NY,US,Off road vehicle/ATV,Lost,43.46183,-73.61494,730,true,Assist/own power,2,false,Private Land,Private,WASHINGTON,FORT ANN,true,false,03/18/2012,11:50 PM,POINT (-73.61494 43.46183)
NY-2021-WS-286,5,Rescue,09/05/2021,01:50 PM,1,,53,VT,US,Boating,Stranded,44.65175,-73.39457,650,true,Vehicle/boat evacuation,2,true,Other Municipal Land,Lake Champlain,CLINTON,PLATTSBURGH,false,false,09/05/2021,02:55 PM,POINT (-73.39457 44.65175)
NY-2015-WS-198,5,Rescue,08/01/2015,08:44 PM,1,M,22,NY,US,Hiking,Illness,44.16077,-73.85539,2203,false,Carry out by foot; Vehicle/boat evacuation,4,true,Forest Preserve,Eastern High Peaks,ESSEX,KEENE,true,false,08/02/2015,03:20 AM,POINT (-73.85539 44.16077)
NY-2012-WS-170,5,Search,09/01/2012,06:23 PM,1,M,23,NJ,US,Hiking,Lost,43.5807,-73.59442,1720,true,Assist/own power; Vehicle/boat evacuation,3,false,Forest Preserve,Lake George Wildforest,WARREN,BOLTON,true,false,09/02/2012,01:00 AM,POINT (-73.59442 43.5807)
NY-2018-WS-034,3,Rescue,03/17/2018,04:10 PM,1,M,24,NY,US,Hiking,Injured,41.49236,-73.93043,1300,true,Vehicle/boat evacuation,1,true,OPRHP State Land,Hudson Highlands State Park Preserve,DUTCHESS,BEACON,false,false,03/17/2018,08:58 PM,POINT (-73.93043 41.49236)
NY-2015-WS-047,5,Search,04/12/2015,01:00 PM,1,M,55,NY,US,Hiking,Lost,44.29131,-74.07903,1750,true,Assist/own power,14,true,Forest Preserve,Saranac Lake Wild Forest,ESSEX,NORTH ELBA,true,false,04/13/2015,08:30 AM,POINT (-74.07903 44.29131)
NY-2020-WS-464,4,Search,11/21/2020,05:30 PM,1,M,74,NY,US,Hunting,Missing,42.80744,-75.19518,1830,true,Carry out by foot,6,true,State Forests,Plainfield State Forest,OTSEGO,PLAINFIELD,false,false,11/22/2020,08:00 AM,POINT (-75.19518 42.80744)
NY-2020-WS-149,5,Rescue,06/26/2020,03:39 PM,1,M,67,NY,US,Hiking,Injured,44.15498,-73.98652,3885,true,Assist/own power,1,true,Forest Preserve,High Peaks Wilderness,ESSEX,NORTH ELBA,true,false,06/26/2020,05:45 PM,POINT (-73.98652 44.15498)
NY-2022-WS-074,5,Rescue,05/08/2022,07:45 PM,1,F,42,NY,US,Hiking,Injured,44.15835,-73.94877,1023,true,Assist/own power,1,false,Forest Preserve,High Peaks Wilderness,ESSEX,NORTH ELBA,true,false,05/09/2022,11:54 AM,POINT (-73.94877 44.15835)
NY-2012-WS-196,5,Search,09/25/2012,07:30 PM,1,M,64,NY,US,Hiking,Overdue,43.81381,-73.62994,1146,true,Assist/own power,3,true,Forest Preserve,Pharoah Lake Wilderness,ESSEX,SCHROON,true,false,09/26/2012,12:30 PM,POINT (-73.62994 43.81381)
NY-2017-WS-286,5,Rescue,10/06/2017,01:15 PM,1,M,51,NY,US,Hiking,Injured,44.09968,-73.82399,3282,true,Aircraft evacuation,13,true,Forest Preserve,Dix Mountain Wilderness Area,ESSEX,KEENE,true,false,10/06/2017,09:00 PM,POINT (-73.82399 44.09968)
NY-2020-WS-220,6,Rescue,07/25/2020,10:00 AM,1,M,14,NY,US,Hiking,Illness,43.744,-74.9039,2099,true,Carry out by foot,1,true,Forest Preserve,Fulton Chain Wild Forest,HERKIMER,WEBB,true,false,07/25/2020,11:00 AM,POINT (-74.9039 43.744)
NY-2013-WS-095,5,Rescue,07/08/2013,01:45 PM,1,F,25,NJ,US,Hiking,Injured,43.42559,-73.7393,1560,true,Carry out by foot; Technical Rope,7,true,Forest Preserve,Lake George Wild Forest,WARREN,LAKE GEORGE,true,false,07/08/2013,05:45 PM,POINT (-73.7393 43.42559)
NY-2022-WS-245,5,Search,09/07/2022,08:12 PM,3,F,28,NY,US,Hiking,Lost,44.18979,-73.80431,1200,false,Assist/own power,1,false,Forest Preserve,High Peaks Wilderness,ESSEX,KEENE,true,false,09/07/2022,11:00 PM,POINT (-73.80431 44.18979)
NY-2017-WS-187,5,Search,07/28/2017,06:14 PM,3,F,11,VA,US,Hiking,Lost,43.5093,-73.6306,300,true,Assist/own power,2,true,Forest Preserve,Lake George Wild Forest,WASHINGTON,FORT ANN,true,false,07/29/2017,11:30 AM,POINT (-73.6306 43.5093)
NY-2019-WS-231,4,Recovery,08/31/2019,10:55 AM,1,,20,NE,US,Swimming,Injured,42.17715,-74.05739,931,false,Technical Rope,4,true,Forest Preserve,Kaaterskill Wild Forest,GREENE,HUNTER,false,true,08/31/2019,02:08 PM,POINT (-74.05739 42.17715)
NY-2020-WS-349,5,Rescue,09/19/2020,07:43 PM,3,,16,NY,US,Hiking,Lost,43.6136,-73.54742,328,false,Vehicle/boat evacuation,4,true,Forest Preserve,Lake George Wild Forest,WASHINGTON,DRESDEN,true,false,09/20/2020,12:50 AM,POINT (-73.54742 43.6136)
NY-2020-WS-361,5,Rescue,09/25/2020,09:37 PM,3,,20,NY,US,Climbing:Rock/Ice,Stranded,44.13722,-74.03691,3600,false,Assist/own power,3,true,Forest Preserve,High Peaks Wilderness,ESSEX,NORTH ELBA,true,false,09/26/2020,04:45 AM,POINT (-74.03691 44.13722)
NY-2018-WS-263,5,Rescue,09/15/2018,07:54 PM,2,M,32,NY,US,Camping,Illness,43.57466,-73.62522,325,true,Vehicle/boat evacuation,2,true,Forest Preserve,Lake George Wild Forest,WARREN,BOLTON,true,false,09/15/2018,10:00 PM,POINT (-73.62522 43.57466)
NY-2018-WS-255,4,Search,09/08/2018,08:45 PM,1,F,33,NY,US,Hiking,Lost,42.21428,-74.01609,999,true,Assist/own power,6,false,Forest Preserve,Windham Blackhead Range Wilderness,GREENE,HUNTER,false,true,09/09/2018,07:51 AM,POINT (-74.01609 42.21428)
NY-2014-WS-001,5,Search,01/01/2014,01:12 AM,1,M,35,ON,CA,Hiking,Lost,44.14087,-73.7356,2593,true,Assist/own power,4,false,Forest Preserve,Giant Mountain Wilderness,ESSEX,KEENE,true,false,01/01/2014,10:00 AM,POINT (-73.7356 44.14087)
NY-2017-WS-083,5,Search,04/23/2017,07:44 PM,3,F,15,NY,US,Hiking,Lost,43.56471,-73.55346,2100,true,Assist/own power,2,true,Forest Preserve,Lake George Wild Forest,WASHINGTON,DRESDEN,true,false,04/23/2017,11:44 PM,POINT (-73.55346 43.56471)
NY-2015-WS-043,5,Search,04/03/2015,08:34 PM,2,M,18,NY,US,Hiking,Lost,43.50619,-73.60191,1407,true,Assist/own power,2,false,Forest Preserve,Lake George Wild Forest,WASHINGTON,FORT ANN,true,false,04/04/2015,03:00 AM,POINT (-73.60191 43.50619)
NY-2014-WS-089,5,Rescue,06/14/2014,12:24 PM,2,M,18,MA,US,Boating,Stranded,44.58001,-73.84537,813,true,Swiftwater,4,true,Private Land,Private,CLINTON,BLACK BROOK,true,false,06/14/2014,03:00 PM,POINT (-73.84537 44.58001)
NY-2016-WS-241,5,Search,08/23/2016,08:40 PM,1,M,29,MI,US,Hiking,Lost,43.87525,-74.46704,2248,true,Assist/own power,2,false,Forest Preserve,Sargent Ponds Wild Forest,HAMILTON,INDIAN LAKE,true,false,08/23/2016,11:30 PM,POINT (-74.46704 43.87525)
NY-2021-WS-183,5,Search,07/15/2021,07:46 PM,2,M,13,NY,US,Camping,Lost,43.62887,-74.53687,2463,true,Assist/own power,3,false,Forest Preserve,West Canada Lakes Wilderenss,HAMILTON,LAKE PLEASANT,true,false,07/16/2021,03:30 PM,POINT (-74.53687 43.62887)
NY-2015-WS-112,5,Fugitive Search,06/06/2015,08:00 AM,2,M,34,NY,US,Criminal,Fugitive,44.56697,-74.14256,500,true,Carry out by foot,84,true,State Forests,Chazy Highlands Wild Forest,CLINTON,DANNEMORA,true,false,06/28/2015,03:30 PM,POINT (-74.14256 44.56697)
NY-2014-WS-078,5,Search,06/01/2014,11:30 PM,1,M,19,NY,US,Hiking,Stranded,44.13387,-73.80962,1600,true,Assist/own power,1,false,Conservation Easement,AMR,ESSEX,KEENE,true,false,06/02/2014,02:30 AM,POINT (-73.80962 44.13387)
NY-2018-WS-229,4,Search,08/23/2018,01:25 PM,2,F,67,NY,US,Hiking,Lost,42.19315,-74.03926,2375,false,Assist/own power,1,false,DEC Campground,North South Lake Campground,GREENE,HUNTER,false,true,08/23/2018,04:00 PM,POINT (-74.03926 42.19315)
NY-2022-WS-273,5,Search,09/27/2022,07:00 PM,2,M,19,NY,US,Hiking,Lost,44.07154,-73.96714,2400,true,Assist/own power,2,true,Forest Preserve,High Peaks Wilderness,ESSEX,NEWCOMB,true,false,09/28/2022,01:15 AM,POINT (-73.96714 44.07154)
NY-2018-WS-234,4,Rescue,08/25/2018,02:47 PM,1,M,37,NY,US,Hiking,Injured,42.13479,-74.15832,3013,true,Aircraft evacuation,7,true,Forest Preserve,Indian Head Wilderness Area,GREENE,HUNTER,false,true,08/25/2018,11:00 PM,POINT (-74.15832 42.13479)
NY-2017-WS-109,4,Search,05/31/2017,11:30 AM,2,M,56,NJ,US,Hiking,Lost,42.18995,-74.0403,2350,true,Assist/own power,1,false,Forest Preserve,Kaaterskill Wild Forest,GREENE,HUNTER,false,true,05/31/2017,02:00 PM,POINT (-74.0403 42.18995)
NY-2013-WS-102,5,Recovery,07/14/2013,11:44 AM,1,M,66,NY,US,Camping,Illness,43.72609,-74.47274,2100,false,Vehicle/boat evacuation,1,true,Forest Preserve,Moose River Plains Wild Forest,HAMILTON,LAKE PLEASANT,true,false,07/14/2013,02:30 PM,POINT (-74.47274 43.72609)
NY-2019-WS-036,8,Search,03/11/2019,03:10 AM,1,F,47,NY,US,Despondent,Missing,43.3642,-77.95693,245,true,Carry out by foot; Vehicle/boat evacuation,8,true,OPRHP State Land,Hamlin Beach State Park,MONROE,HAMLIN,false,false,03/12/2019,02:00 PM,POINT (-77.95693 43.3642)
NY-2020-WS-155,5,Rescue,06/30/2020,07:48 PM,1,F,45,NY,US,Hiking,Overdue,44.14423,-73.82863,2730,true,Assist/own power,2,true,Forest Preserve,High Peaks Wilderness,ESSEX,KEENE,true,false,06/30/2020,10:49 PM,POINT (-73.82863 44.14423)
NY-2013-WS-051,5,Search,05/19/2013,06:53 PM,2,F,45,NY,US,Hiking,Lost,43.8601,-74.7063,3000,true,Assist/own power; Vehicle/boat evacuation,2,false,Forest Preserve,Pigeon Lake Wilderness,HAMILTON,LONG LAKE,true,false,05/20/2013,12:45 AM,POINT (-74.7063 43.8601)
NY-2019-WS-097,3,Rescue,05/30/2019,06:55 PM,1,M,23,NY,US,Hiking,Stranded,41.58079,-74.62799,1020,true,Assist/own power,3,true,State Forests,Neversink Unique Area,SULLIVAN,THOMPSON,false,false,05/30/2019,09:20 PM,POINT (-74.62799 41.58079)
NY-2012-WS-157,6,Search,08/22/2012,07:37 PM,1,M,91,NY,US,Walking,Illness,43.23899,-75.69706,439,true,Carry out by foot,3,true,Private Land,N/A,ONEIDA,VIENNA,false,false,08/22/2012,09:45 PM,POINT (-75.69706 43.23899)
NY-2020-WS-037,5,Rescue,03/02/2020,10:10 AM,1,F,54,NY,US,Snowmobile,Injured,43.81298,-74.67867,1909,true,Vehicle/boat evacuation,1,true,Forest Preserve,Moose River Plains,HAMILTON,LONG LAKE,true,false,03/02/2020,05:30 PM,POINT (-74.67867 43.81298)
NY-2017-WS-261,6,Search,09/17/2017,07:57 PM,1,M,67,NY,US,Hiking,Lost,44.1288,-74.73708,1782,true,Aircraft evacuation,10,true,Forest Preserve,Five Ponds Wilderness Area,ST LAWRENCE,COLTON,true,false,09/18/2017,11:45 AM,POINT (-74.73708 44.1288)
NY-2019-WS-077,5,Rescue,05/17/2019,08:20 PM,2,M,36,CO,US,Boating,Stranded,44.25384,-74.24714,1540,true,Assist/own power,1,true,Forest Preserve,Saranac Lake Wild Forest,FRANKLIN,HARRIETSTOWN,true,false,05/17/2019,11:11 PM,POINT (-74.24714 44.25384)
NY-2012-WS-114,5,Search,07/04/2012,03:20 PM,1,M,18,WI,US,Hiking,Lost,43.50671,-73.58072,1400,true,Assist/own power,2,false,Private Land,N/A,WASHINGTON,FORT ANN,true,false,07/04/2012,05:00 PM,POINT (-73.58072 43.50671)
NY-2014-WS-213,3,Search,09/06/2014,08:05 PM,3,M,38,NY,US,Hiking,Overdue,42.00399,-74.3712,2182,true,Assist/own power,2,true,DEC Campground,Mongaup Pond DEC Campground,SULLIVAN,ROCKLAND,false,true,09/06/2014,09:00 PM,POINT (-74.3712 42.00399)
NY-2016-WS-013,5,Rescue,01/27/2016,11:19 AM,1,F,56,NY,US,Hiking,Injured,43.4248,-73.73223,1030,true,Vehicle/boat evacuation,2,true,Forest Preserve,Lake George Wild Forest,WARREN,LAKE GEORGE,true,false,01/27/2016,01:00 PM,POINT (-73.73223 43.4248)
NY-2015-WS-073,4,Search,05/07/2015,07:00 PM,1,M,72,NY,US,Hiking,Lost,42.18524,-74.05894,2127,true,Assist/own power,1,false,Forest Preserve,Kaaterskill Wild Forest,GREENE,HUNTER,false,true,05/08/2015,03:00 AM,POINT (-74.05894 42.18524)
NY-2019-WS-275,3,Recovery,09/28/2019,07:00 PM,1,M,59,NY,US,Despondent,Fugitive,41.30994,-73.95909,689,true,Carry out by foot,6,true,OPRHP State Land,Hudson Highlands State Park,WESTCHESTER,CORTLANDT,false,false,10/03/2019,02:30 PM,POINT (-73.95909 41.30994)
NY-2016-WS-202,5,Search,08/02/2016,04:31 PM,1,F,37,VT,US,Hiking,Lost,44.18076,-73.7909,1100,false,Assist/own power,1,false,Forest Preserve,E. High Peaks Wilderness,ESSEX,KEENE,true,false,08/02/2016,07:15 PM,POINT (-73.7909 44.18076)
NY-2019-WS-119,5,Rescue,06/22/2019,09:54 AM,1,F,51,QC,CA,Hiking,Injured,44.15077,-73.93496,2861,true,Carry out by foot,3,true,Forest Preserve,High Peaks,ESSEX,NORTH ELBA,true,false,06/22/2019,12:30 PM,POINT (-73.93496 44.15077)
NY-2018-WS-288,6,Search,10/05/2018,12:45 PM,1,M,75,NY,US,Hunting,Lost,44.20456,-76.12508,244,true,Aircraft evacuation,4,true,Wildlife Management Area,French Creek Wildlife Management Area,JEFFERSON,CLAYTON,false,false,10/05/2018,02:45 PM,POINT (-76.12508 44.20456)
